variant,side,entry_time,entry_price,stop,target,size,exit_time,exit_price,pnl
"0.50% stop, ATR×3.0",long,2026-04-01 06:00:00,69105.0,68759.475,70705.75714285714,14,2026-04-01 07:00:00,68759.475,-5000.0
"0.50% stop, ATR×3.0",short,2026-04-02 01:00:00,67358.0,67694.79,65689.4,14,2026-04-02 15:00:00,66852.4,7506.161109296823
"0.50% stop, ATR×3.0",long,2026-04-03 07:00:00,67040.6,66705.39700000001,68001.22142857143,14,2026-04-03 10:00:00,66705.39700000001,-5000.0
"0.50% stop, ATR×3.0",short,2026-04-06 00:00:00,69083.9,69429.31949999998,67820.83571428571,14,2026-04-06 09:00:00,69429.31949999998,-5000.0
"0.50% stop, ATR×3.0",short,2026-04-07 10:00:00,68231.6,68572.758,66906.30714285714,14,2026-04-07 12:00:00,68572.758,-5000.0
"0.50% stop, ATR×3.0",short,2026-04-08 00:00:00,71710.5,72069.05249999999,69581.63571428572,13,2026-04-08 12:00:00,72069.05249999999,-5000.0
"0.50% stop, ATR×3.0",short,2026-04-10 07:00:00,71485.4,71842.82699999999,69970.01428571428,13,2026-04-10 09:00:00,71842.82699999999,-5000.0
"0.50% stop, ATR×3.0",short,2026-04-12 01:00:00,71648.5,72006.7425,70295.8,13,2026-04-12 15:00:00,70887.0,10628.275539613736
"0.50% stop, ATR×3.0",long,2026-04-14 06:00:00,74527.7,74155.0615,76043.47142857143,13,2026-04-14 14:00:00,76043.47142857143,20338.36316660018
"0.50% stop, ATR×3.0",short,2026-04-15 05:00:00,74025.6,74395.728,72463.09285714285,13,2026-04-15 12:00:00,74395.728,-5000.0
"0.50% stop, ATR×3.0",short,2026-04-16 10:00:00,74315.6,74687.178,73151.87857142859,13,2026-04-16 12:00:00,74687.178,-5000.0
"0.50% stop, ATR×3.0",long,2026-04-17 06:00:00,74931.8,74557.141,76175.8142857143,13,2026-04-17 09:00:00,76175.8142857143,16601.95385289415
"0.50% stop, ATR×3.0",short,2026-04-18 08:00:00,76738.9,77122.59449999999,75802.59999999999,13,2026-04-18 11:00:00,75802.59999999999,12201.113125155667
"0.50% stop, ATR×3.0",short,2026-04-19 07:00:00,75235.0,75611.17499999999,74347.64285714287,13,2026-04-19 11:00:00,75611.17499999999,-5000.0
"0.50% stop, ATR×3.0",short,2026-04-20 05:00:00,74274.8,74646.174,72921.5,13,2026-04-20 06:00:00,74646.174,-5000.0
"0.50% stop, ATR×3.0",long,2026-04-22 02:00:00,77605.2,77217.174,79548.62142857142,12,2026-04-22 15:00:00,79270.5,21458.613598058007
"0.50% stop, ATR×3.0",short,2026-04-23 10:00:00,77407.7,77794.73849999999,76020.67142857143,12,2026-04-23 12:00:00,77794.73849999999,-5000.0
"0.50% stop, ATR×3.0",long,2026-04-24 00:00:00,78411.7,78019.6415,79906.38571428572,12,2026-04-24 01:00:00,78019.6415,-5000.0
"0.50% stop, ATR×3.0",long,2026-04-27 00:00:00,79291.5,78895.0425,80664.27857142859,12,2026-04-27 01:00:00,78895.0425,-5000.0
"0.50% stop, ATR×3.0",short,2026-04-28 02:00:00,76889.6,77274.048,75620.68571428572,13,2026-04-28 15:00:00,76067.2,10695.854836025046
"0.50% stop, ATR×3.0",long,2026-04-29 03:00:00,76990.3,76605.34850000001,77926.15000000001,12,2026-04-29 13:00:00,76605.34850000001,-5000.0
"0.50% stop, ATR×3.0",short,2026-04-30 04:00:00,75495.0,75872.47499999999,73918.95000000001,13,2026-04-30 07:00:00,75872.47499999999,-5000.0
"0.50% stop, ATR×3.0",long,2026-05-01 01:00:00,76689.3,76305.8535,77648.14285714286,13,2026-05-01 12:00:00,77648.14285714286,12502.95487301147
"0.50% stop, ATR×3.0",long,2026-05-04 01:00:00,79780.9,79381.99549999999,80987.41428571427,12,2026-05-04 10:00:00,79381.99549999999,-5000.0
"0.50% stop, ATR×3.0",long,2026-05-05 02:00:00,80557.5,80154.7125,82384.07142857143,12,2026-05-05 15:00:00,81530.3,12075.84644508567
"0.50% stop, ATR×3.0",long,2026-05-06 10:00:00,82291.8,81880.341,83681.05714285714,12,2026-05-06 13:00:00,81880.341,-5000.0
"0.50% stop, ATR×3.0",short,2026-05-07 10:00:00,80847.5,81251.73749999999,79735.97857142857,12,2026-05-07 15:00:00,79898.0,11744.333467330805
"0.50% stop, ATR×3.0",short,2026-05-08 02:00:00,79476.6,79873.983,78157.30714285714,12,2026-05-08 08:00:00,79873.983,-5000.0
"0.50% stop, ATR×3.0",short,2026-05-12 07:00:00,80856.9,81261.18449999999,79878.34285714285,12,2026-05-12 15:00:00,80331.0,6504.083139472347
"0.50% stop, ATR×3.0",long,2026-05-13 09:00:00,81288.8,80882.356,82097.42857142858,12,2026-05-13 10:00:00,80882.356,-5000.0
"0.50% stop, ATR×3.0",long,2026-05-14 05:00:00,79816.4,79417.318,80947.63571428572,12,2026-05-14 10:00:00,79417.318,-5000.0
"0.50% stop, ATR×3.0",short,2026-05-15 05:00:00,80358.4,80760.19199999998,78853.27857142856,12,2026-05-15 07:00:00,80760.19199999998,-5000.0
"0.50% stop, ATR×3.0",short,2026-05-16 07:00:00,78386.2,78778.131,77616.80714285713,12,2026-05-16 15:00:00,78237.1,1902.1205263170364
"0.50% stop, ATR×3.0",long,2026-05-18 00:00:00,77206.9,76820.8655,78286.9857142857,12,2026-05-18 01:00:00,76820.8655,-5000.0
"0.50% stop, ATR×3.0",long,2026-05-18 02:00:00,76837.4,76453.21299999999,78056.06428571428,13,2026-05-18 14:00:00,76453.21299999999,-5000.0
"0.50% stop, ATR×3.0",short,2026-05-19 02:00:00,76617.9,77000.98949999998,75118.22142857143,13,2026-05-19 05:00:00,77000.98949999998,-5000.0
"0.50% stop, ATR×3.0",long,2026-05-20 05:00:00,77196.2,76810.219,78105.22142857141,12,2026-05-20 15:00:00,77458.1,3392.654042556614
"0.50% stop, ATR×3.0",short,2026-05-21 03:00:00,78075.7,78466.07849999999,76941.25,12,2026-05-21 13:00:00,76941.25,14530.12909266291
"0.50% stop, ATR×3.0",long,2026-05-22 03:00:00,77772.7,77383.83649999999,78841.53571428571,12,2026-05-22 06:00:00,77383.83649999999,-5000.0
"0.50% stop, ATR×3.0",short,2026-05-23 00:00:00,75359.0,75735.795,74065.44285714286,13,2026-05-23 15:00:00,75521.6,-2157.671943629912
"0.50% stop, ATR×3.0",short,2026-05-26 00:00:00,76788.9,77172.84449999999,75901.54285714285,13,2026-05-26 10:00:00,77172.84449999999,-5000.0
"0.50% stop, ATR×3.0",short,2026-05-27 03:00:00,75673.6,76051.968,74324.52142857143,13,2026-05-27 08:00:00,76051.968,-5000.0
"0.50% stop, ATR×3.0",long,2026-05-28 03:00:00,73266.3,72899.9685,74762.01428571428,13,2026-05-28 04:00:00,72899.9685,-5000.0
"0.50% stop, ATR×3.0",long,2026-05-28 05:00:00,72996.1,72631.1195,74445.97857142857,13,2026-05-28 14:00:00,72631.1195,-5000.0
"0.50% stop, ATR×3.0",long,2026-05-29 05:00:00,73701.7,73333.1915,74800.12857142856,13,2026-05-29 12:00:00,73333.1915,-5000.0
"0.50% stop, ATR×3.0",short,2026-06-01 01:00:00,73298.2,73664.69099999999,72337.87857142858,13,2026-06-01 02:00:00,73664.69099999999,-5000.0
"0.50% stop, ATR×3.0",short,2026-06-01 07:00:00,72805.7,73169.72849999998,71624.8142857143,13,2026-06-01 13:00:00,71624.8142857143,16219.687665742484
"0.50% stop, ATR×3.0",short,2026-06-02 01:00:00,70669.0,71022.34499999999,69087.82857142857,14,2026-06-02 03:00:00,71022.34499999999,-5000.0
"0.50% stop, ATR×3.0",long,2026-06-02 06:00:00,70110.7,69760.1465,71450.84285714285,14,2026-06-02 07:00:00,69760.1465,-5000.0
"0.50% stop, ATR×3.0",long,2026-06-02 08:00:00,69826.0,69476.87,71244.37857142856,14,2026-06-02 09:00:00,69476.87,-5000.0
"0.50% stop, ATR×3.0",short,2026-06-03 03:00:00,65855.1,66184.3755,63440.935714285726,15,2026-06-03 04:00:00,66184.3755,-5000.0
"0.50% stop, ATR×3.0",long,2026-06-04 00:00:00,63350.0,63033.25,65532.328571428574,15,2026-06-04 01:00:00,63033.25,-5000.0
"0.50% stop, ATR×3.0",short,2026-06-04 07:00:00,63604.6,63922.62299999999,60643.707142857136,15,2026-06-04 12:00:00,63922.62299999999,-5000.0
"0.50% stop, ATR×3.0",short,2026-06-05 02:00:00,62626.1,62939.23049999999,60518.04285714286,15,2026-06-05 04:00:00,62939.23049999999,-5000.0
"0.50% stop, ATR×3.0",short,2026-06-05 05:00:00,62333.8,62645.469,60119.65,16,2026-06-05 06:00:00,62645.469,-5000.0
"0.50% stop, ATR×3.0",short,2026-06-06 10:00:00,60587.0,60889.93499999999,58394.62142857143,16,2026-06-06 11:00:00,60889.93499999999,-5000.0
"0.50% stop, ATR×3.0",long,2026-06-07 01:00:00,61475.0,61167.625,62692.4,16,2026-06-07 08:00:00,62692.4,19803.17202114683
"0.50% stop, ATR×3.0",long,2026-06-08 07:00:00,63290.5,62974.0475,65419.985714285714,15,2026-06-08 12:00:00,62974.0475,-5000.0
"0.50% stop, ATR×3.0",short,2026-06-09 08:00:00,62853.1,63167.36549999999,61573.171428571426,15,2026-06-09 14:00:00,61573.171428571426,20363.809763219262
